sub_field,name,changepoint,avg_before,avg_after,change_pct,likely_cause
cs.LG,Machine Learning,February 2010,6.3,1289.6,20287.3,Financial crisis / Cloud computing
cs.LG,Machine Learning,July 2010,7.3,1323.4,18126.2,Financial crisis / Cloud computing
cs.LG,Machine Learning,December 2010,7.9,1359.3,17014.1,Financial crisis / Cloud computing
cs.LG,Machine Learning,May 2011,8.6,1397.1,16059.1,AlexNet - Deep learning revolution
cs.LG,Machine Learning,October 2011,9.8,1436.7,14612.7,AlexNet - Deep learning revolution
cs.LG,Machine Learning,March 2012,11.2,1478.4,13105.8,AlexNet - Deep learning revolution
cs.LG,Machine Learning,August 2012,15.3,1519.8,9812.0,AlexNet - Deep learning revolution
cs.LG,Machine Learning,January 2013,17.9,1565.4,8637.8,AlexNet - Deep learning revolution
cs.LG,Machine Learning,June 2013,20.7,1613.5,7697.5,AlexNet - Deep learning revolution
cs.LG,Machine Learning,November 2013,23.1,1665.1,7098.3,AlexNet - Deep learning revolution
cs.LG,Machine Learning,April 2014,26.4,1719.2,6410.2,GANs invented / Deep RL
cs.LG,Machine Learning,September 2014,29.3,1777.5,5959.9,GANs invented / Deep RL
cs.LG,Machine Learning,February 2015,32.8,1839.2,5504.7,GANs invented / Deep RL
cs.LG,Machine Learning,July 2015,37.2,1904.1,5019.9,GANs invented / Deep RL
cs.LG,Machine Learning,December 2015,42.0,1973.3,4593.8,GANs invented / Deep RL
cs.LG,Machine Learning,May 2016,46.8,2048.1,4274.6,Transformer paper published
cs.LG,Machine Learning,October 2016,52.7,2127.2,3938.1,Transformer paper published
cs.LG,Machine Learning,March 2017,59.5,2211.3,3615.3,Transformer paper published
cs.LG,Machine Learning,August 2017,68.3,2298.9,3268.0,Transformer paper published
cs.LG,Machine Learning,January 2018,77.7,2393.0,2980.5,BERT / GPT-1 released
cs.LG,Machine Learning,June 2018,90.8,2487.1,2637.7,BERT / GPT-1 released
cs.LG,Machine Learning,November 2018,108.9,2577.3,2266.9,BERT / GPT-1 released
cs.LG,Machine Learning,April 2019,131.1,2664.1,1931.6,BERT / GPT-1 released
cs.LG,Machine Learning,September 2019,161.8,2732.4,1589.3,BERT / GPT-1 released
cs.LG,Machine Learning,February 2020,195.2,2796.3,1332.7,COVID-19 research surge
cs.LG,Machine Learning,July 2020,235.6,2837.8,1104.6,COVID-19 research surge
cs.LG,Machine Learning,December 2020,273.8,2888.7,955.0,COVID-19 research surge
cs.LG,Machine Learning,May 2021,307.8,2962.1,862.4,COVID-19 research surge
cs.LG,Machine Learning,October 2021,342.8,3037.9,786.3,COVID-19 research surge
cs.LG,Machine Learning,March 2022,379.6,3111.6,719.8,ChatGPT / LLM explosion
cs.LG,Machine Learning,August 2022,416.6,3193.0,666.5,ChatGPT / LLM explosion
cs.LG,Machine Learning,January 2023,451.9,3300.1,630.3,GPT-4 / Generative AI boom
cs.LG,Machine Learning,June 2023,488.9,3413.8,598.2,GPT-4 / Generative AI boom
cs.LG,Machine Learning,November 2023,529.6,3517.1,564.2,GPT-4 / Generative AI boom
cs.LG,Machine Learning,April 2024,571.7,3628.3,534.6,GPT-4 / Generative AI boom
cs.LG,Machine Learning,September 2024,614.3,3773.7,514.3,GPT-4 / Generative AI boom
cs.LG,Machine Learning,February 2025,660.6,3909.0,491.7,GPT-4 / Generative AI boom
cs.AI,Artificial Intelligence,June 1994,1.6,427.1,27080.0,Unknown
cs.AI,Artificial Intelligence,November 1994,1.7,430.6,25230.5,Unknown
cs.AI,Artificial Intelligence,April 1995,1.9,434.2,22477.1,Unknown
cs.AI,Artificial Intelligence,February 1996,2.2,445.2,20305.5,Google founded / Web boom
cs.AI,Artificial Intelligence,July 1996,2.4,451.6,18657.8,Google founded / Web boom
cs.AI,Artificial Intelligence,December 1996,2.3,456.8,19568.7,Google founded / Web boom
cs.AI,Artificial Intelligence,May 1997,2.3,462.2,20120.8,Google founded / Web boom
cs.AI,Artificial Intelligence,January 1999,2.5,484.9,19685.7,Google founded / Web boom
cs.AI,Artificial Intelligence,June 1999,2.5,492.5,19886.7,Google founded / Web boom
cs.AI,Artificial Intelligence,November 1999,2.6,500.3,19464.5,Google founded / Web boom
cs.AI,Artificial Intelligence,April 2000,3.3,508.2,15078.5,Dot-com crash
cs.AI,Artificial Intelligence,February 2001,3.8,525.1,13853.4,Dot-com crash
cs.AI,Artificial Intelligence,July 2001,3.9,533.9,13586.6,Dot-com crash
cs.AI,Artificial Intelligence,December 2001,4.0,543.1,13517.6,Dot-com crash
cs.AI,Artificial Intelligence,May 2002,4.3,552.5,12694.2,Dot-com crash
cs.AI,Artificial Intelligence,October 2002,4.7,562.3,11948.9,Dot-com crash
cs.AI,Artificial Intelligence,January 2004,5.4,591.5,10817.6,Unknown
cs.AI,Artificial Intelligence,June 2004,5.8,602.7,10306.8,Unknown
cs.AI,Artificial Intelligence,November 2004,6.0,614.3,10167.6,Unknown
cs.AI,Artificial Intelligence,April 2005,6.4,626.3,9662.2,Unknown
cs.AI,Artificial Intelligence,February 2006,6.9,652.0,9334.1,Financial crisis / Cloud computing
cs.AI,Artificial Intelligence,July 2006,7.1,665.7,9275.7,Financial crisis / Cloud computing
cs.AI,Artificial Intelligence,December 2006,7.4,679.8,9053.0,Financial crisis / Cloud computing
cs.AI,Artificial Intelligence,May 2007,7.6,694.7,9049.4,Financial crisis / Cloud computing
cs.AI,Artificial Intelligence,March 2008,8.2,726.4,8785.9,Financial crisis / Cloud computing
cs.AI,Artificial Intelligence,January 2009,9.2,760.8,8212.2,Financial crisis / Cloud computing
cs.AI,Artificial Intelligence,June 2009,9.9,779.1,7799.1,Financial crisis / Cloud computing
cs.AI,Artificial Intelligence,February 2011,12.5,862.1,6795.7,AlexNet - Deep learning revolution
cs.AI,Artificial Intelligence,May 2012,16.7,934.5,5503.9,AlexNet - Deep learning revolution
cs.AI,Artificial Intelligence,October 2012,18.8,960.6,5019.5,AlexNet - Deep learning revolution
cs.AI,Artificial Intelligence,March 2013,22.4,985.9,4296.0,AlexNet - Deep learning revolution
cs.AI,Artificial Intelligence,August 2013,25.5,1013.6,3878.1,AlexNet - Deep learning revolution
cs.AI,Artificial Intelligence,January 2014,26.4,1046.5,3867.9,GANs invented / Deep RL
cs.AI,Artificial Intelligence,June 2014,28.0,1080.4,3752.0,GANs invented / Deep RL
cs.AI,Artificial Intelligence,November 2014,28.8,1118.2,3777.6,GANs invented / Deep RL
cs.AI,Artificial Intelligence,September 2015,31.2,1201.4,3756.6,GANs invented / Deep RL
cs.AI,Artificial Intelligence,February 2016,32.5,1247.6,3734.4,Transformer paper published
cs.AI,Artificial Intelligence,July 2016,35.1,1295.1,3591.8,Transformer paper published
cs.AI,Artificial Intelligence,May 2017,40.3,1402.6,3377.2,Transformer paper published
cs.AI,Artificial Intelligence,October 2017,44.3,1460.3,3192.7,Transformer paper published
cs.AI,Artificial Intelligence,March 2018,48.4,1523.6,3048.8,BERT / GPT-1 released
cs.AI,Artificial Intelligence,August 2018,53.9,1588.8,2848.4,BERT / GPT-1 released
cs.AI,Artificial Intelligence,January 2019,59.5,1660.9,2692.2,BERT / GPT-1 released
cs.AI,Artificial Intelligence,June 2019,64.9,1741.8,2582.4,BERT / GPT-1 released
cs.AI,Artificial Intelligence,November 2019,70.8,1831.3,2486.0,BERT / GPT-1 released
cs.AI,Artificial Intelligence,April 2020,76.1,1935.6,2443.7,COVID-19 research surge
cs.AI,Artificial Intelligence,September 2020,83.0,2047.4,2367.2,COVID-19 research surge
cs.AI,Artificial Intelligence,February 2021,95.7,2145.8,2141.3,COVID-19 research surge
cs.AI,Artificial Intelligence,July 2021,110.8,2246.3,1927.1,COVID-19 research surge
cs.AI,Artificial Intelligence,December 2021,125.7,2365.3,1781.3,COVID-19 research surge
cs.AI,Artificial Intelligence,May 2022,140.4,2510.1,1688.3,ChatGPT / LLM explosion
cs.AI,Artificial Intelligence,October 2022,156.5,2674.8,1608.7,ChatGPT / LLM explosion
cs.AI,Artificial Intelligence,March 2023,174.3,2867.5,1545.0,GPT-4 / Generative AI boom
cs.AI,Artificial Intelligence,August 2023,197.6,3054.4,1445.4,GPT-4 / Generative AI boom
cs.AI,Artificial Intelligence,January 2024,224.6,3256.6,1350.1,GPT-4 / Generative AI boom
cs.AI,Artificial Intelligence,June 2024,256.7,3454.9,1246.0,GPT-4 / Generative AI boom
cs.AI,Artificial Intelligence,November 2024,294.2,3632.2,1134.6,GPT-4 / Generative AI boom
cs.AI,Artificial Intelligence,April 2025,332.3,3941.6,1086.2,GPT-4 / Generative AI boom
cs.CV,Computer Vision,October 1999,1.4,263.0,18683.0,Google founded / Web boom
cs.CV,Computer Vision,September 2002,1.6,279.4,17022.3,Dot-com crash
cs.CV,Computer Vision,February 2003,1.9,284.4,14766.7,Dot-com crash
cs.CV,Computer Vision,July 2003,1.9,289.7,15235.2,Dot-com crash
cs.CV,Computer Vision,October 2004,2.2,308.1,13905.6,Unknown
cs.CV,Computer Vision,June 2006,2.6,339.8,13001.8,Financial crisis / Cloud computing
cs.CV,Computer Vision,November 2006,2.7,349.2,13046.6,Financial crisis / Cloud computing
cs.CV,Computer Vision,April 2007,2.6,359.2,13594.7,Financial crisis / Cloud computing
cs.CV,Computer Vision,September 2007,2.8,369.8,13183.4,Financial crisis / Cloud computing
cs.CV,Computer Vision,February 2008,3.0,380.9,12706.2,Financial crisis / Cloud computing
cs.CV,Computer Vision,July 2008,3.3,392.7,11853.0,Financial crisis / Cloud computing
cs.CV,Computer Vision,May 2009,3.7,418.8,11212.2,Financial crisis / Cloud computing
cs.CV,Computer Vision,August 2010,6.0,463.7,7628.7,Financial crisis / Cloud computing
cs.CV,Computer Vision,April 2012,9.7,540.5,5451.0,AlexNet - Deep learning revolution
cs.CV,Computer Vision,September 2012,11.1,563.4,4980.1,AlexNet - Deep learning revolution
cs.CV,Computer Vision,February 2013,12.8,587.8,4474.7,AlexNet - Deep learning revolution
cs.CV,Computer Vision,July 2013,14.7,614.4,4069.1,AlexNet - Deep learning revolution
cs.CV,Computer Vision,May 2014,19.0,675.0,3446.5,GANs invented / Deep RL
cs.CV,Computer Vision,October 2014,21.6,709.5,3179.4,GANs invented / Deep RL
cs.CV,Computer Vision,March 2015,26.0,744.5,2768.9,GANs invented / Deep RL
cs.CV,Computer Vision,August 2015,30.5,783.3,2472.0,GANs invented / Deep RL
cs.CV,Computer Vision,January 2016,35.5,825.6,2222.8,Transformer paper published
cs.CV,Computer Vision,November 2016,48.7,920.3,1791.3,Transformer paper published
cs.CV,Computer Vision,April 2017,57.8,970.1,1579.6,Transformer paper published
cs.CV,Computer Vision,September 2017,68.9,1019.9,1379.7,Transformer paper published
cs.CV,Computer Vision,February 2018,80.3,1077.9,1242.5,BERT / GPT-1 released
cs.CV,Computer Vision,July 2018,95.5,1127.6,1080.9,BERT / GPT-1 released
cs.CV,Computer Vision,December 2018,111.5,1182.8,961.1,BERT / GPT-1 released
cs.CV,Computer Vision,May 2019,128.8,1242.0,864.6,BERT / GPT-1 released
cs.CV,Computer Vision,October 2019,148.6,1294.8,771.2,BERT / GPT-1 released
cs.CV,Computer Vision,March 2020,167.3,1381.3,725.9,COVID-19 research surge
cs.CV,Computer Vision,August 2020,193.4,1387.3,617.2,COVID-19 research surge
cs.CL,Computation & Language (NLP),February 1995,22.8,272.1,1093.3,Unknown
cs.CL,Computation & Language (NLP),March 1997,19.1,290.8,1419.2,Google founded / Web boom
cs.CL,Computation & Language (NLP),August 1997,18.8,294.9,1464.6,Google founded / Web boom
cs.CL,Computation & Language (NLP),January 1998,18.1,299.2,1554.2,Google founded / Web boom
cs.CL,Computation & Language (NLP),June 1998,16.8,303.8,1703.8,Google founded / Web boom
cs.CL,Computation & Language (NLP),April 1999,15.6,313.1,1907.2,Google founded / Web boom
cs.CL,Computation & Language (NLP),September 1999,14.9,318.1,2029.3,Google founded / Web boom
cs.CL,Computation & Language (NLP),February 2000,14.2,323.2,2178.7,Dot-com crash
cs.CL,Computation & Language (NLP),July 2000,13.8,328.5,2285.2,Dot-com crash
cs.CL,Computation & Language (NLP),December 2000,13.8,333.9,2312.6,Dot-com crash
cs.CL,Computation & Language (NLP),October 2001,13.3,343.0,2477.4,Dot-com crash
cs.CL,Computation & Language (NLP),January 2003,12.2,361.6,2875.2,Dot-com crash
cs.CL,Computation & Language (NLP),June 2003,11.9,367.0,2997.0,Dot-com crash
cs.CL,Computation & Language (NLP),April 2004,11.3,379.6,3261.8,Unknown
cs.CL,Computation & Language (NLP),September 2004,11.1,387.0,3392.2,Unknown
cs.CL,Computation & Language (NLP),February 2005,10.8,394.7,3546.4,Unknown
cs.CL,Computation & Language (NLP),July 2005,10.6,401.2,3692.8,Unknown
cs.CL,Computation & Language (NLP),October 2006,9.9,425.4,4198.4,Financial crisis / Cloud computing
cs.CL,Computation & Language (NLP),March 2007,9.7,434.7,4385.8,Financial crisis / Cloud computing
cs.CL,Computation & Language (NLP),August 2007,9.6,442.5,4531.0,Financial crisis / Cloud computing
cs.CL,Computation & Language (NLP),January 2008,9.5,452.6,4654.4,Financial crisis / Cloud computing
cs.CL,Computation & Language (NLP),June 2008,9.4,463.1,4814.9,Financial crisis / Cloud computing
cs.CL,Computation & Language (NLP),September 2009,9.1,498.1,5363.3,Financial crisis / Cloud computing
cs.CL,Computation & Language (NLP),February 2010,9.1,510.9,5498.9,Financial crisis / Cloud computing
cs.CL,Computation & Language (NLP),July 2010,9.1,524.4,5648.9,Financial crisis / Cloud computing
cs.CL,Computation & Language (NLP),December 2010,9.0,538.7,5855.2,Financial crisis / Cloud computing
cs.CL,Computation & Language (NLP),October 2011,9.1,569.7,6181.8,AlexNet - Deep learning revolution
cs.CL,Computation & Language (NLP),March 2012,9.1,586.5,6331.0,AlexNet - Deep learning revolution
cs.CL,Computation & Language (NLP),January 2013,9.6,622.8,6362.3,AlexNet - Deep learning revolution
cs.CL,Computation & Language (NLP),June 2013,10.0,642.6,6328.7,AlexNet - Deep learning revolution
cs.CL,Computation & Language (NLP),November 2013,10.5,663.5,6245.8,AlexNet - Deep learning revolution
cs.CL,Computation & Language (NLP),July 2015,13.5,761.3,5552.5,GANs invented / Deep RL
cs.CL,Computation & Language (NLP),December 2015,14.8,789.3,5218.0,GANs invented / Deep RL
cs.CL,Computation & Language (NLP),May 2016,16.4,819.3,4910.2,Transformer paper published
cs.CL,Computation & Language (NLP),October 2016,19.0,849.2,4366.7,Transformer paper published
cs.CL,Computation & Language (NLP),March 2017,21.6,881.8,3984.5,Transformer paper published
cs.CL,Computation & Language (NLP),January 2018,28.5,951.5,3242.0,BERT / GPT-1 released
cs.CL,Computation & Language (NLP),June 2018,32.8,988.9,2917.9,BERT / GPT-1 released
cs.CL,Computation & Language (NLP),November 2018,38.2,1026.3,2587.2,BERT / GPT-1 released
cs.CL,Computation & Language (NLP),April 2019,42.1,1073.0,2446.2,BERT / GPT-1 released
cs.CL,Computation & Language (NLP),September 2019,49.6,1111.7,2143.5,BERT / GPT-1 released
cs.CL,Computation & Language (NLP),February 2020,57.2,1153.9,1917.5,COVID-19 research surge
cs.CL,Computation & Language (NLP),July 2020,65.9,1196.6,1717.1,COVID-19 research surge
cs.CL,Computation & Language (NLP),December 2020,75.2,1241.1,1549.4,COVID-19 research surge
cs.CL,Computation & Language (NLP),May 2021,83.5,1298.1,1454.0,COVID-19 research surge
cs.CL,Computation & Language (NLP),October 2021,93.7,1352.9,1344.1,COVID-19 research surge
cs.CL,Computation & Language (NLP),March 2022,101.2,1436.3,1319.5,ChatGPT / LLM explosion
cs.CL,Computation & Language (NLP),August 2022,111.0,1519.1,1268.1,ChatGPT / LLM explosion
cs.CL,Computation & Language (NLP),January 2023,121.9,1612.3,1222.2,GPT-4 / Generative AI boom
cs.CL,Computation & Language (NLP),June 2023,135.0,1708.4,1165.7,GPT-4 / Generative AI boom
cs.CL,Computation & Language (NLP),November 2023,150.5,1803.5,1098.4,GPT-4 / Generative AI boom
cs.CL,Computation & Language (NLP),April 2024,169.5,1877.6,1007.8,GPT-4 / Generative AI boom
cs.CL,Computation & Language (NLP),September 2024,191.1,1928.7,909.5,GPT-4 / Generative AI boom
cs.CL,Computation & Language (NLP),February 2025,211.6,2040.2,864.1,GPT-4 / Generative AI boom
cs.CR,Cryptography & Security,January 2002,1.6,157.0,9712.9,Dot-com crash
cs.CR,Cryptography & Security,June 2002,1.6,159.2,9602.6,Dot-com crash
cs.CR,Cryptography & Security,July 2004,2.5,173.8,6873.5,Unknown
cs.CR,Cryptography & Security,November 2007,5.3,204.1,3716.1,Financial crisis / Cloud computing
cs.CR,Cryptography & Security,April 2008,5.9,208.5,3408.3,Financial crisis / Cloud computing
cs.CR,Cryptography & Security,February 2009,6.8,218.1,3113.5,Financial crisis / Cloud computing
cs.CR,Cryptography & Security,July 2009,7.3,223.2,2967.7,Financial crisis / Cloud computing
cs.CR,Cryptography & Security,December 2009,8.3,228.2,2660.9,Financial crisis / Cloud computing
cs.CR,Cryptography & Security,May 2010,9.8,233.0,2271.1,Financial crisis / Cloud computing
cs.CR,Cryptography & Security,August 2011,12.1,247.8,1946.7,AlexNet - Deep learning revolution
cs.CR,Cryptography & Security,June 2012,14.4,260.1,1700.8,AlexNet - Deep learning revolution
cs.CR,Cryptography & Security,September 2013,18.3,280.5,1429.9,AlexNet - Deep learning revolution
cs.CR,Cryptography & Security,October 2015,24.3,324.3,1237.1,GANs invented / Deep RL
cs.CR,Cryptography & Security,August 2016,27.1,345.8,1177.3,Transformer paper published
cs.CR,Cryptography & Security,January 2017,28.6,357.5,1150.9,Transformer paper published
cs.CR,Cryptography & Security,June 2017,30.3,369.8,1118.6,Transformer paper published
cs.CR,Cryptography & Security,November 2017,32.7,381.9,1068.4,Transformer paper published
cs.CR,Cryptography & Security,April 2018,35.3,394.2,1015.0,BERT / GPT-1 released
cs.CR,Cryptography & Security,September 2018,38.6,406.0,951.9,BERT / GPT-1 released
cs.CR,Cryptography & Security,February 2019,42.4,417.5,885.5,BERT / GPT-1 released
cs.CR,Cryptography & Security,December 2019,51.1,439.3,759.5,BERT / GPT-1 released
cs.CR,Cryptography & Security,May 2020,55.5,451.6,713.2,COVID-19 research surge
cs.CR,Cryptography & Security,October 2020,60.7,461.9,660.4,COVID-19 research surge
cs.CR,Cryptography & Security,August 2021,70.8,487.1,588.1,COVID-19 research surge
cs.CR,Cryptography & Security,January 2022,75.6,503.2,565.4,ChatGPT / LLM explosion
cs.CR,Cryptography & Security,June 2022,80.8,519.9,543.8,ChatGPT / LLM explosion
cs.CR,Cryptography & Security,November 2022,86.3,536.9,522.3,ChatGPT / LLM explosion
cs.CR,Cryptography & Security,April 2023,91.3,562.0,515.9,GPT-4 / Generative AI boom
cs.CR,Cryptography & Security,February 2024,103.5,609.7,489.3,GPT-4 / Generative AI boom
cs.CR,Cryptography & Security,December 2024,118.3,649.6,449.1,GPT-4 / Generative AI boom
cs.RO,Robotics,November 2003,1.8,191.6,10848.7,Dot-com crash
cs.RO,Robotics,April 2004,1.7,192.4,11267.0,Unknown
cs.RO,Robotics,September 2004,1.7,193.1,11165.8,Unknown
cs.RO,Robotics,February 2005,2.3,197.0,8407.0,Unknown
cs.RO,Robotics,October 2006,2.6,209.7,8002.7,Financial crisis / Cloud computing
cs.RO,Robotics,March 2007,2.6,212.5,8175.1,Financial crisis / Cloud computing
cs.RO,Robotics,August 2007,4.0,217.0,5356.2,Financial crisis / Cloud computing
cs.RO,Robotics,November 2008,4.4,232.3,5197.5,Financial crisis / Cloud computing
cs.RO,Robotics,April 2009,4.4,238.0,5365.8,Financial crisis / Cloud computing
cs.RO,Robotics,September 2009,4.4,244.0,5403.5,Financial crisis / Cloud computing
cs.RO,Robotics,February 2010,4.5,250.2,5477.4,Financial crisis / Cloud computing
cs.RO,Robotics,December 2010,4.6,263.7,5651.8,Financial crisis / Cloud computing
cs.RO,Robotics,May 2011,5.0,270.9,5368.7,AlexNet - Deep learning revolution
cs.RO,Robotics,October 2011,5.3,278.5,5150.6,AlexNet - Deep learning revolution
cs.RO,Robotics,November 2013,7.0,323.9,4516.1,AlexNet - Deep learning revolution
cs.RO,Robotics,April 2014,7.8,334.5,4214.1,GANs invented / Deep RL
cs.RO,Robotics,September 2014,8.2,346.1,4106.0,GANs invented / Deep RL
cs.RO,Robotics,December 2015,10.5,385.3,3572.1,GANs invented / Deep RL
cs.RO,Robotics,May 2016,11.8,399.8,3283.4,Transformer paper published
cs.RO,Robotics,October 2016,13.7,414.7,2936.7,Transformer paper published
cs.RO,Robotics,March 2017,15.5,430.9,2678.4,Transformer paper published
cs.RO,Robotics,January 2018,21.3,464.1,2077.7,BERT / GPT-1 released
cs.RO,Robotics,June 2018,24.7,482.1,1855.3,BERT / GPT-1 released
cs.RO,Robotics,November 2018,28.9,499.9,1627.1,BERT / GPT-1 released
cs.RO,Robotics,April 2019,32.9,520.0,1478.9,BERT / GPT-1 released
cs.RO,Robotics,September 2019,37.9,539.9,1325.6,BERT / GPT-1 released
cs.RO,Robotics,February 2020,44.1,558.4,1166.2,COVID-19 research surge
cs.RO,Robotics,July 2020,50.7,577.6,1038.6,COVID-19 research surge
cs.RO,Robotics,December 2020,58.7,594.3,911.9,COVID-19 research surge
cs.RO,Robotics,May 2021,66.9,612.0,815.4,COVID-19 research surge
cs.RO,Robotics,October 2021,74.9,632.1,744.1,COVID-19 research surge
cs.RO,Robotics,March 2022,81.0,664.0,720.2,ChatGPT / LLM explosion
cs.RO,Robotics,August 2022,88.9,691.9,678.0,ChatGPT / LLM explosion
cs.RO,Robotics,January 2023,97.6,721.2,639.2,GPT-4 / Generative AI boom
cs.RO,Robotics,June 2023,106.3,756.2,611.1,GPT-4 / Generative AI boom
cs.RO,Robotics,November 2023,117.3,781.0,565.6,GPT-4 / Generative AI boom
cs.RO,Robotics,April 2024,127.8,817.9,539.7,GPT-4 / Generative AI boom
cs.RO,Robotics,September 2024,138.1,874.4,532.9,GPT-4 / Generative AI boom
cs.RO,Robotics,February 2025,151.0,914.9,505.9,GPT-4 / Generative AI boom
cs.NE,Neural & Evolutionary Computing,February 2000,2.1,58.2,2699.9,Dot-com crash
cs.NE,Neural & Evolutionary Computing,July 2000,2.1,58.5,2643.9,Dot-com crash
cs.NE,Neural & Evolutionary Computing,May 2006,3.4,70.8,2003.8,Financial crisis / Cloud computing
cs.NE,Neural & Evolutionary Computing,April 2009,4.8,81.9,1614.1,Financial crisis / Cloud computing
cs.NE,Neural & Evolutionary Computing,August 2012,7.3,98.8,1257.3,AlexNet - Deep learning revolution
cs.NE,Neural & Evolutionary Computing,January 2013,7.8,101.3,1204.6,AlexNet - Deep learning revolution
cs.NE,Neural & Evolutionary Computing,June 2013,8.3,103.8,1153.1,AlexNet - Deep learning revolution
cs.NE,Neural & Evolutionary Computing,April 2014,9.6,109.1,1034.0,GANs invented / Deep RL
cs.NE,Neural & Evolutionary Computing,July 2015,12.8,116.5,810.7,GANs invented / Deep RL
cs.NE,Neural & Evolutionary Computing,May 2016,15.5,121.0,681.2,Transformer paper published
cs.NE,Neural & Evolutionary Computing,March 2017,18.3,125.7,585.4,Transformer paper published
cs.NE,Neural & Evolutionary Computing,January 2018,21.8,129.3,493.5,BERT / GPT-1 released
cs.NE,Neural & Evolutionary Computing,June 2018,23.8,130.5,448.1,BERT / GPT-1 released
cs.NE,Neural & Evolutionary Computing,November 2018,25.4,132.8,423.2,BERT / GPT-1 released
cs.NE,Neural & Evolutionary Computing,April 2019,27.1,134.5,395.5,BERT / GPT-1 released
cs.NE,Neural & Evolutionary Computing,February 2020,31.5,135.4,330.3,COVID-19 research surge
cs.NE,Neural & Evolutionary Computing,July 2020,34.4,132.7,285.7,COVID-19 research surge
cs.NE,Neural & Evolutionary Computing,March 2022,41.2,137.4,233.5,ChatGPT / LLM explosion
cs.NE,Neural & Evolutionary Computing,August 2022,43.0,137.3,219.0,ChatGPT / LLM explosion
cs.NE,Neural & Evolutionary Computing,January 2023,44.4,139.9,214.8,GPT-4 / Generative AI boom
cs.NE,Neural & Evolutionary Computing,June 2023,46.3,139.2,200.8,GPT-4 / Generative AI boom
cs.NE,Neural & Evolutionary Computing,November 2023,47.6,143.3,201.2,GPT-4 / Generative AI boom
cs.NE,Neural & Evolutionary Computing,February 2025,52.8,133.6,153.0,GPT-4 / Generative AI boom
cs.SI,Social & Information Networks,September 2010,2.2,123.1,5516.8,Financial crisis / Cloud computing
cs.SI,Social & Information Networks,February 2011,9.4,125.3,1234.6,AlexNet - Deep learning revolution
cs.SI,Social & Information Networks,July 2011,15.6,127.3,717.2,AlexNet - Deep learning revolution
cs.SI,Social & Information Networks,May 2012,26.1,131.2,402.2,AlexNet - Deep learning revolution
cs.SI,Social & Information Networks,August 2013,38.2,136.9,258.4,AlexNet - Deep learning revolution
cs.SI,Social & Information Networks,April 2015,51.5,143.9,179.2,GANs invented / Deep RL
cs.SI,Social & Information Networks,July 2016,60.2,148.8,147.1,Transformer paper published
cs.SI,Social & Information Networks,October 2017,66.9,153.8,129.9,Transformer paper published
cs.SI,Social & Information Networks,March 2018,69.4,155.4,123.7,BERT / GPT-1 released
cs.SI,Social & Information Networks,August 2018,71.6,157.3,119.6,BERT / GPT-1 released
cs.SI,Social & Information Networks,January 2019,73.6,159.4,116.4,BERT / GPT-1 released
cs.SI,Social & Information Networks,April 2020,81.4,162.2,99.3,COVID-19 research surge
cs.SI,Social & Information Networks,September 2020,86.4,157.2,81.9,COVID-19 research surge
cs.SI,Social & Information Networks,July 2021,92.0,154.3,67.8,COVID-19 research surge
cs.SI,Social & Information Networks,March 2023,97.7,161.4,65.1,GPT-4 / Generative AI boom
